Month,Day,Debit_Amount
12,13,13.40
12,13,7.50
12,13,23.45
12,13,17.00
12,14,120.10
12,14,1000.00
12,16,134.85
12,16,23.85
12,17,5.84
12,20,22.77
12,20,5.49
12,20,13.00
12,20,149.90
12,21,22.00
12,21,5.65
12,22,25.00
12,22,7.99
12,23,24.99
12,23,12.10
12,23,1.20
12,24,68.50
12,24,16.99
12,24,14.19
12,24,10.50
12,24,10.00
12,24,2.99
12,24,1.20
12,24,1000.00
12,29,1.70
12,29,17.00
12,29,9.99
12,29,8.99
12,29,26.99
12,29,0.50
12,29,0.80
12,29,26.93
12,29,9.99
12,29,2.99
12,29,1.40
12,29,0.80
12,29,5.32
12,29,3.99
12,29,54.50
12,29,40.00
12,29,3.28
12,29,2.28
12,30,29.90
12,30,15.00
12,30,9.49
12,30,3.09
12,30,2.00
12,31,40.00
12,31,12.45
12,31,12.45
12,31,11.99
12,31,31.00
